fasta_id	enzyme_id	pdb_path	function_logit_path	donor_compounds	donor_type	donor_carrier	acceptor_superclasses
Amem_UGT88E30_WLF94736.1	Amem_AmUGT88E30_WLF94736.1	UGT_structures/Amem_UGT88E30_WLF94736.1/AF-A0AA49KF33-F1-model_v6.pdb	UGT_structures/Amem_UGT88E30_WLF94736.1/Amem_UGT88E30_WLF94736.1_function_logits_structure_steps10.pt				Isoflavonoids
Asat_SGT_507_CAB06081.1	Asat_SGT_507_CAB06081.1	UGT_structures/Asat_SGT_507_CAB06081.1/AF-O22678-F1-model_v6.pdb	UGT_structures/Asat_SGT_507_CAB06081.1/Asat_SGT_507_CAB06081.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Steroids
Astr_UGT99D1_AZQ26921.1	Astr_UGT99D1_AZQ26921.1	UGT_structures/Astr_UGT99D1_AZQ26921.1/AF-A0A3S9LYN2-F1-model_v6.pdb	UGT_structures/Astr_UGT99D1_AZQ26921.1/Astr_UGT99D1_AZQ26921.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-Ara;UDP-Gal;UDP-Rha;UDP-b-L-Arap;UDP-glucose	hexose;pentose	UDP	Triterpenoids
Atau_AET5Gv20385300_A0A453KDR0	Atau_AET5Gv20385300_A0A453KDR0	UGT_structures/Atau_AET5Gv20385300_A0A453KDR0/AF-A0A453KDR0-F1-model_v6.pdb	UGT_structures/Atau_AET5Gv20385300_A0A453KDR0/Atau_AET5Gv20385300_A0A453KDR0_function_logits_structure_steps10.pt				Sesquiterpenoids
Atha_1g56550_RGXT3_NP_176048.1	Atha_At1g56550_RGXT3_NP_176048.1	UGT_structures/Atha_1g56550_RGXT3_NP_176048.1/AF-Q9FXA7-F1-model_v6.pdb	UGT_structures/Atha_1g56550_RGXT3_NP_176048.1/Atha_1g56550_RGXT3_NP_176048.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_3GT_NP_200217.1	Atha_At3GT_NP_200217.1	UGT_structures/Atha_3GT_NP_200217.1/AF-Q9LVW3-F1-model_v6.pdb	UGT_structures/Atha_3GT_NP_200217.1/Atha_3GT_NP_200217.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_4G15280_NP_193263.1	Atha_AT4G15280_NP_193263.1	UGT_structures/Atha_4G15280_NP_193263.1/AF-O23382-F1-model_v6.pdb	UGT_structures/Atha_4G15280_NP_193263.1/Atha_4G15280_NP_193263.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_4G34138_NP_567955.1	Atha_AT4G34138_NP_567955.1	UGT_structures/Atha_4G34138_NP_567955.1/AF-Q8VZE9-F1-model_v6.pdb	UGT_structures/Atha_4G34138_NP_567955.1/Atha_4G34138_NP_567955.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids;Proline alkaloids
Atha_76D1_NP_180216.1	Atha_UGT76D1_NP_180216.1	UGT_structures/Atha_76D1_NP_180216.1/AF-O48715-F1-model_v6.pdb	UGT_structures/Atha_76D1_NP_180216.1/Atha_76D1_NP_180216.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_ArGt_3_AAK25870.1	Atha_ArGt_3_AAK25870.1	UGT_structures/Atha_ArGt_3_AAK25870.1/AF-F4IS54-F1-model_v6.pdb	UGT_structures/Atha_ArGt_3_AAK25870.1/Atha_ArGt_3_AAK25870.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	Flavonoids
Atha_CESA6_NP_201279.1	Atha_CESA6_NP_201279.1	UGT_structures/Atha_CESA6_NP_201279.1/AF-Q94JQ6-F1-model_v6.pdb	UGT_structures/Atha_CESA6_NP_201279.1/Atha_CESA6_NP_201279.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_CSLA2_AAL24334.1	Atha_CSLA2_AAL24334.1	UGT_structures/Atha_CSLA2_AAL24334.1/AF-Q9FNI7-F1-model_v6.pdb	UGT_structures/Atha_CSLA2_AAL24334.1/Atha_CSLA2_AAL24334.1_function_logits_structure_steps10.pt	GDP-D-glucose;GDP-D-mannose	hexose	GDP	
Atha_CSLA9_AAL31192.1	Atha_CSLA9_AAL31192.1	UGT_structures/Atha_CSLA9_AAL31192.1/AF-Q9LZR3-F1-model_v6.pdb	UGT_structures/Atha_CSLA9_AAL31192.1/Atha_CSLA9_AAL31192.1_function_logits_structure_steps10.pt	GDP-D-mannose	hexose	GDP	
Atha_CSLD3_NP_186955.1	Atha_CSLD3_NP_186955.1	UGT_structures/Atha_CSLD3_NP_186955.1/AF-Q9M9M4-F1-model_v6.pdb	UGT_structures/Atha_CSLD3_NP_186955.1/Atha_CSLD3_NP_186955.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_DGD2_NP_001329549.1	Atha_DGD2_NP_001329549.1	UGT_structures/Atha_DGD2_NP_001329549.1/AF-Q8W1S1-F1-model_v6.pdb	UGT_structures/Atha_DGD2_NP_001329549.1/Atha_DGD2_NP_001329549.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	Glycerolipids
Atha_Fusion_10_NP_568313.2	Atha_Fusion_10_NP_568313.2	UGT_structures/Atha_Fusion_10_NP_568313.2/AF-Q9LF41-F1-model_v6.pdb	UGT_structures/Atha_Fusion_10_NP_568313.2/Atha_Fusion_10_NP_568313.2_function_logits_structure_steps10.pt	UDP-Arabinose	pentose	UDP	Flavonoids
Atha_Fusion_16_NP_001154369.1	Atha_Fusion_16_NP_001154369.1	UGT_structures/Atha_Fusion_16_NP_001154369.1/AF-Q9LQX5-F1-model_v6.pdb	UGT_structures/Atha_Fusion_16_NP_001154369.1/Atha_Fusion_16_NP_001154369.1_function_logits_structure_steps10.pt	UDP-Arabinose;UDP-glucose	hexose;pentose	UDP	Flavonoids
Atha_Fusion_7_NP_568431.1	Atha_Fusion_7_NP_568431.1	UGT_structures/Atha_Fusion_7_NP_568431.1/AF-Q8LDF9-F1-model_v6.pdb	UGT_structures/Atha_Fusion_7_NP_568431.1/Atha_Fusion_7_NP_568431.1_function_logits_structure_steps10.pt	UDP-Arabinose;UDP-glucose	hexose;pentose	UDP	Flavonoids
Atha_Fusion_8_NP_189515.1	Atha_Fusion_8_NP_189515.1	UGT_structures/Atha_Fusion_8_NP_189515.1/AF-Q05153-F1-model_v6.pdb	UGT_structures/Atha_Fusion_8_NP_189515.1/Atha_Fusion_8_NP_189515.1_function_logits_structure_steps10.pt	UDP-Arabinose	pentose	UDP	Flavonoids
Atha_GALS1_NP_565768.1	Atha_AtGALS1_NP_565768.1	UGT_structures/Atha_GALS1_NP_565768.1/AF-O22807-F1-model_v6.pdb	UGT_structures/Atha_GALS1_NP_565768.1/Atha_GALS1_NP_565768.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	
Atha_GALS2_NP_199280.1	Atha_GALS2_NP_199280.1	UGT_structures/Atha_GALS2_NP_199280.1/AF-Q9LTZ9-F1-model_v6.pdb	UGT_structures/Atha_GALS2_NP_199280.1/Atha_GALS2_NP_199280.1_function_logits_structure_steps10.pt	UDP-Gal;UDP-glucose	hexose	UDP	
Atha_GALS3_NP_193750.1	Atha_GALS3_NP_193750.1	UGT_structures/Atha_GALS3_NP_193750.1/AF-O65431-F1-model_v6.pdb	UGT_structures/Atha_GALS3_NP_193750.1/Atha_GALS3_NP_193750.1_function_logits_structure_steps10.pt	UDP-Gal;UDP-glucose	hexose	UDP	
Atha_GALT29A_encodes_a_1_6_GalT_NP_172305.1	Atha_AtGALT29A_encodes_a_1_6_GalT_NP_172305.1	UGT_structures/Atha_GALT29A_encodes_a_1_6_GalT_NP_172305.1/AF-Q9SGD2-F1-model_v6.pdb	UGT_structures/Atha_GALT29A_encodes_a_1_6_GalT_NP_172305.1/Atha_GALT29A_encodes_a_1_6_GalT_NP_172305.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	
Atha_GALT2_NP_193838.2	Atha_AtGALT2_NP_193838.2	UGT_structures/Atha_GALT2_NP_193838.2/AF-F4JIK9-F1-model_v6.pdb	UGT_structures/Atha_GALT2_NP_193838.2/Atha_GALT2_NP_193838.2_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	Small peptides
Atha_GALT31A_NP_174569.1	Atha_AtGALT31A_NP_174569.1	UGT_structures/Atha_GALT31A_NP_174569.1/AF-Q9MAP8-F1-model_v6.pdb	UGT_structures/Atha_GALT31A_NP_174569.1/Atha_GALT31A_NP_174569.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	
Atha_GLCAT14A_NP_198815.1	Atha_AtGlcAT14A_NP_198815.1	UGT_structures/Atha_GLCAT14A_NP_198815.1/AF-Q9FLD7-F1-model_v6.pdb	UGT_structures/Atha_GLCAT14A_NP_198815.1/Atha_GLCAT14A_NP_198815.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_GT2_NP_567241.1	Atha_AtGT2_NP_567241.1	UGT_structures/Atha_GT2_NP_567241.1/AF-O22775-F1-model_v6.pdb	UGT_structures/Atha_GT2_NP_567241.1/Atha_GT2_NP_567241.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	
Atha_GT3_NP_196389.1	Atha_AtGT3_NP_196389.1	UGT_structures/Atha_GT3_NP_196389.1/AF-Q9LF80-F1-model_v6.pdb	UGT_structures/Atha_GT3_NP_196389.1/Atha_GT3_NP_196389.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	
Atha_GT4_NP_001319036.1	Atha_AtGT4_NP_001319036.1	UGT_structures/Atha_GT4_NP_001319036.1/AF-Q9M9U0-F1-model_v6.pdb	UGT_structures/Atha_GT4_NP_001319036.1/Atha_GT4_NP_001319036.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	
Atha_GT5_NP_177578.1	Atha_AtGT5_NP_177578.1	UGT_structures/Atha_GT5_NP_177578.1/AF-Q9CA75-F1-model_v6.pdb	UGT_structures/Atha_GT5_NP_177578.1/Atha_GT5_NP_177578.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	
Atha_GT6_NP_680773.1	Atha_AtGT6_NP_680773.1	UGT_structures/Atha_GT6_NP_680773.1/AF-Q9SZG1-F1-model_v6.pdb	UGT_structures/Atha_GT6_NP_680773.1/Atha_GT6_NP_680773.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	
Atha_GT7_NP_565544.1	Atha_AtGT7_NP_565544.1	UGT_structures/Atha_GT7_NP_565544.1/AF-O81007-F1-model_v6.pdb	UGT_structures/Atha_GT7_NP_565544.1/Atha_GT7_NP_565544.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-Gal;UDP-glucose	hexose;pentose	UDP	
Atha_GUX1_NP_001030722.1	Atha_GUX1_NP_001030722.1	UGT_structures/Atha_GUX1_NP_001030722.1/AF-Q9LSB1-F1-model_v6.pdb	UGT_structures/Atha_GUX1_NP_001030722.1/Atha_GUX1_NP_001030722.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_GUX2_NP_001154284.1	Atha_GUX2_NP_001154284.1	UGT_structures/Atha_GUX2_NP_001154284.1/AF-Q8GWW4-F1-model_v6.pdb	UGT_structures/Atha_GUX2_NP_001154284.1/Atha_GUX2_NP_001154284.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_GUX3_NP_177838.2	Atha_GUX3_NP_177838.2	UGT_structures/Atha_GUX3_NP_177838.2/AF-Q8W4A7-F1-model_v6.pdb	UGT_structures/Atha_GUX3_NP_177838.2/Atha_GUX3_NP_177838.2_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_GUX4_NP_175891.1	Atha_GUX4_NP_175891.1	UGT_structures/Atha_GUX4_NP_175891.1/AF-Q9FZ37-F1-model_v6.pdb	UGT_structures/Atha_GUX4_NP_175891.1/Atha_GUX4_NP_175891.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Saccharides
Atha_GlcAT14B_NP_197009.1	Atha_AtGlcAT14B_NP_197009.1	UGT_structures/Atha_GlcAT14B_NP_197009.1/AF-Q9LFQ0-F1-model_v6.pdb	UGT_structures/Atha_GlcAT14B_NP_197009.1/Atha_GlcAT14B_NP_197009.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_GlcAT14E_NP_566506.1	Atha_AtGlcAT14E_NP_566506.1	UGT_structures/Atha_GlcAT14E_NP_566506.1/AF-Q9LE60-F1-model_v6.pdb	UGT_structures/Atha_GlcAT14E_NP_566506.1/Atha_GlcAT14E_NP_566506.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_IPUT1_NP_197349.2	Atha_IPUT1_NP_197349.2	UGT_structures/Atha_IPUT1_NP_197349.2/AF-Q8GWB7-F1-model_v6.pdb	UGT_structures/Atha_IPUT1_NP_197349.2/Atha_IPUT1_NP_197349.2_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_IRX10_L_FRA8_L_NP_568941.1	Atha_IRX10_L_FRA8_L_NP_568941.1	UGT_structures/Atha_IRX10_L_FRA8_L_NP_568941.1/AF-Q940Q8-F1-model_v6.pdb	UGT_structures/Atha_IRX10_L_FRA8_L_NP_568941.1/Atha_IRX10_L_FRA8_L_NP_568941.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_IRX10_NP_174064.1	Atha_IRX10_NP_174064.1	UGT_structures/Atha_IRX10_NP_174064.1/AF-Q9FZJ1-F1-model_v6.pdb	UGT_structures/Atha_IRX10_NP_174064.1/Atha_IRX10_NP_174064.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_IRX14_NP_195407.2	Atha_IRX14_NP_195407.2	UGT_structures/Atha_IRX14_NP_195407.2/AF-Q8L707-F1-model_v6.pdb	UGT_structures/Atha_IRX14_NP_195407.2/Atha_IRX14_NP_195407.2_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_IRX7_FRA8_NP_850113.2	Atha_IRX7_FRA8_NP_850113.2	UGT_structures/Atha_IRX7_FRA8_NP_850113.2/AF-Q9ZUV3-F1-model_v6.pdb	UGT_structures/Atha_IRX7_FRA8_NP_850113.2/Atha_IRX7_FRA8_NP_850113.2_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_IRX8_NP_200280.1	Atha_IRX8_NP_200280.1	UGT_structures/Atha_IRX8_NP_200280.1/AF-Q9FH36-F1-model_v6.pdb	UGT_structures/Atha_IRX8_NP_200280.1/Atha_IRX8_NP_200280.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_IRX9_NP_181246.1	Atha_IRX9_NP_181246.1	UGT_structures/Atha_IRX9_NP_181246.1/AF-Q9ZQC6-F1-model_v6.pdb	UGT_structures/Atha_IRX9_NP_181246.1/Atha_IRX9_NP_181246.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_PARVUS_NP_564077.1	Atha_PARVUS_NP_564077.1	UGT_structures/Atha_PARVUS_NP_564077.1/AF-Q9LN68-F1-model_v6.pdb	UGT_structures/Atha_PARVUS_NP_564077.1/Atha_PARVUS_NP_564077.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_RGXT1_NP_192086.1	Atha_RGXT1_NP_192086.1	UGT_structures/Atha_RGXT1_NP_192086.1/AF-Q9ZSJ2-F1-model_v6.pdb	UGT_structures/Atha_RGXT1_NP_192086.1/Atha_RGXT1_NP_192086.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	Saccharides
Atha_RGXT2_NP_192084.1	Atha_RGXT2_NP_192084.1	UGT_structures/Atha_RGXT2_NP_192084.1/AF-Q9ZSJ0-F1-model_v6.pdb	UGT_structures/Atha_RGXT2_NP_192084.1/Atha_RGXT2_NP_192084.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	Saccharides
Atha_RHM2_NP_564633.2	Atha_RHM2_NP_564633.2	UGT_structures/Atha_RHM2_NP_564633.2/AF-Q9LPG6-F1-model_v6.pdb	UGT_structures/Atha_RHM2_NP_564633.2/Atha_RHM2_NP_564633.2_function_logits_structure_steps10.pt	TDP-glucose;UDP-Rha;UDP-glucose	hexose	TDP;UDP	
Atha_SUS1_Q42633	Atha_AtSUS1_Q42633	UGT_structures/Atha_SUS1_Q42633/AF-Q42633-F1-model_v6.pdb	UGT_structures/Atha_SUS1_Q42633/Atha_SUS1_Q42633_function_logits_structure_steps10.pt				Saccharides
Atha_UGGT_NP_001185370.1	Atha_AtUGGT_NP_001185370.1	UGT_structures/Atha_UGGT_NP_001185370.1/AF-Q0WL80-F1-model_v6.pdb	UGT_structures/Atha_UGGT_NP_001185370.1/Atha_UGGT_NP_001185370.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_UGT2_NP_172044.1	Atha_UGT2_NP_172044.1	UGT_structures/Atha_UGT2_NP_172044.1/AF-Q9ZVY5-F1-model_v6.pdb	UGT_structures/Atha_UGT2_NP_172044.1/Atha_UGT2_NP_172044.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Tryptophan alkaloids
Atha_UGT713B1_NP_568452	Atha_UGT713B1_NP_568452	UGT_structures/Atha_UGT713B1_NP_568452/AF-F4KII1-F1-model_v6.pdb	UGT_structures/Atha_UGT713B1_NP_568452/Atha_UGT713B1_NP_568452_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_UGT71B1_NP_188812.1	Atha_UGT71B1_NP_188812.1	UGT_structures/Atha_UGT71B1_NP_188812.1/AF-Q9LSY9-F1-model_v6.pdb	UGT_structures/Atha_UGT71B1_NP_188812.1/Atha_UGT71B1_NP_188812.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids;Diphenyl ethers (DPEs);Flavonoids;Proline alkaloids
Atha_UGT71B6_NP_188815.2	Atha_UGT71B6_NP_188815.2	UGT_structures/Atha_UGT71B6_NP_188815.2/AF-Q9LSY6-F1-model_v6.pdb	UGT_structures/Atha_UGT71B6_NP_188815.2/Atha_UGT71B6_NP_188815.2_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids;Diphenyl ethers (DPEs);Proline alkaloids
Atha_UGT71B7_NP_188816.1	Atha_UGT71B7_NP_188816.1	UGT_structures/Atha_UGT71B7_NP_188816.1/AF-Q9LSY5-F1-model_v6.pdb	UGT_structures/Atha_UGT71B7_NP_188816.1/Atha_UGT71B7_NP_188816.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids
Atha_UGT71B8_NP_188817.1	Atha_UGT71B8_NP_188817.1	UGT_structures/Atha_UGT71B8_NP_188817.1/AF-Q9LSY4-F1-model_v6.pdb	UGT_structures/Atha_UGT71B8_NP_188817.1/Atha_UGT71B8_NP_188817.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids
Atha_UGT71C1_NP_180536.1	Atha_UGT71C1_NP_180536.1	UGT_structures/Atha_UGT71C1_NP_180536.1/AF-O82381-F1-model_v6.pdb	UGT_structures/Atha_UGT71C1_NP_180536.1/Atha_UGT71C1_NP_180536.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_UGT71C2_NP_180535.1	Atha_UGT71C2_NP_180535.1	UGT_structures/Atha_UGT71C2_NP_180535.1/AF-O82382-F1-model_v6.pdb	UGT_structures/Atha_UGT71C2_NP_180535.1/Atha_UGT71C2_NP_180535.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Flavonoids;Naphthalenes;Proline alkaloids
Atha_UGT71C3_NP_172206.1	Atha_UGT71C3_NP_172206.1_2	UGT_structures/Atha_UGT71C3_NP_172206.1/AF-Q9LML7-F1-model_v6.pdb	UGT_structures/Atha_UGT71C3_NP_172206.1/Atha_UGT71C3_NP_172206.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Flavonoids;Naphthalenes;Proline alkaloids
Atha_UGT71C4_NP_563784.2	Atha_UGT71C4_NP_563784.2	UGT_structures/Atha_UGT71C4_NP_563784.2/AF-Q9LML6-F1-model_v6.pdb	UGT_structures/Atha_UGT71C4_NP_563784.2/Atha_UGT71C4_NP_563784.2_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Flavonoids;Naphthalenes;Proline alkaloids
Atha_UGT71C5_NP_172204.1	Atha_UGT71C5_NP_172204.1	UGT_structures/Atha_UGT71C5_NP_172204.1/AF-Q9FE68-F1-model_v6.pdb	UGT_structures/Atha_UGT71C5_NP_172204.1/Atha_UGT71C5_NP_172204.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids
Atha_UGT71D1_NP_180534.1	Atha_UGT71D1_NP_180534.1	UGT_structures/Atha_UGT71D1_NP_180534.1/AF-O82383-F1-model_v6.pdb	UGT_structures/Atha_UGT71D1_NP_180534.1/Atha_UGT71D1_NP_180534.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Naphthalenes
Atha_UGT72B1_NP_192016	Atha_UGT72B1_NP_192016	UGT_structures/Atha_UGT72B1_NP_192016/AF-Q9M156-F1-model_v6.pdb	UGT_structures/Atha_UGT72B1_NP_192016/Atha_UGT72B1_NP_192016_function_logits_structure_steps10.pt	UDP - Xyl;UDP-D-Mannose;UDP-Gal;UDP-GlcNAc;UDP-glucose	hexose;hexose_derivative;pentose	UDP	Apocarotenoids;Diphenyl ethers (DPEs);Flavonoids;Naphthalenes;Phenolic acids (C6-C1);Phenylpropanoids (C6-C3);Proline alkaloids
Atha_UGT72B3_NP_171649.1	Atha_UGT72B3_NP_171649.1	UGT_structures/Atha_UGT72B3_NP_171649.1/AF-Q9LNI1-F1-model_v6.pdb	UGT_structures/Atha_UGT72B3_NP_171649.1/Atha_UGT72B3_NP_171649.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Naphthalenes;Proline alkaloids
Atha_UGT72C1_NP_195395.4	Atha_UGT72C1_NP_195395.4	UGT_structures/Atha_UGT72C1_NP_195395.4/AF-O23205-F1-model_v6.pdb	UGT_structures/Atha_UGT72C1_NP_195395.4/Atha_UGT72C1_NP_195395.4_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Naphthalenes;Proline alkaloids
